ID.o,S Group,C Group,Price, Volume, TradeTime, EventTime, Offer, Bid, Buyer, Seller, buyerID, sellerID, Realized Tot , R per Tr ,UnReal Q,U per tr Q, Unreal Tot $ ,User Volu,User%ofTotalVolu,Total Volu,TradeCount,1st HourVolu,1stHourUserVolu,1stHour?,last HourVolu,lastHourUserVolu,lastHour?,1stHR_Usr/1SThR_Tot,lastH-Usr/LAST-HR-Tot,1stHR_Usr/TOT_vol,lastH-Usr/TOT_vol,VWAP,Price*V,(p2/p1)-1,ln(p2/p1),Net,User Buy,User Sell,User Vol Traded (Buy+Sell),Qualify,Gender,"Based on the INFORMATION provided, the best strategy is to:",Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q45,Q28,Q47,Q29,Q30,SUM
S9C915T,S9,C915T,20.6,22,12:50:39,12041,20.6,20.300001,Server,Server,0,0,-9.50005,0,0,0,0,140,5.29%,2645,9,868,40,0,2018,21,1,4.61%,1.04%,0.015122873,3.93E-06,20.30570893,453.2,0.01942,1.92%,-9.50005,70,70,140,T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S9C815T,S9,C815T,20.5,19,12:57:32,12455,20.5,20.300001,Server,Server,0,0,970.2,0,-50,0,-1025,620,19.28%,3215,28,958,85,0,2592,300,1,8.87%,11.57%,0.026438569,3.60E-05,20.33748059,389.5,0.02927,2.88%,-54.8,285,335,620,T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S9C615T,S9,C615T,21,5,12:58:56,12539,20.9,20.6,Server,Server,0,10,7924.000059,105,-381,-5,-8001,421,14.63%,2878,16,788,0,0,2416,401,1,0.00%,16.60%,0,5.77E-05,20.34885342,105,-0.00476,-0.48%,-76.999941,20,401,421,T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S9C315T,S9,C315T,20,23,12:59:21,12568,21,20.7,Server,Server,0,10,3376.1,460,-190,-23,-3800,1620,42.60%,3803,105,1564,345,0,2900,564,1,22.06%,19.45%,0.090717854,5.11E-05,20.18711545,460,0.035,3.44%,-423.9,715,905,1620,T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S9C2315,S9,C2315,21,11,12:51:40,12102,20.9,20.4,Server,Server,0,0,-672.300048,0,33,0,693,797,26.88%,2965,57,1150,155,0,2116,66,1,13.48%,3.12%,0.05227656,1.05E-05,20.28654307,231,0,0.00%,20.699952,415,382,797,T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S9C2215,S9,C2215,21,4,12:57:17,12438,20.6,20.4,Server,Server,0,0,340.900008,0,-22,0,-462,520,17.44%,2982,27,1028,121,0,2388,279,1,11.77%,11.68%,0.040576794,3.92E-05,20.33329984,84,0,0.00%,-121.099992,249,271,520,T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S9C2115,S9,C2115,20.7,20,12:56:44,12406,21,20.7,Server,Server,0,10,4.9,414,0,-20,0,242,8.55%,2831,14,892,52,0,2202,90,1,5.83%,4.09%,0.018368068,1.44E-05,20.34380081,414,0.01449,1.44%,4.9,121,121,242,T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S9C2015,S9,C2015,21,10,12:59:05,12546,21,20.4,Server,Server,10,0,-435.1,-210,20,10,420,310,9.28%,3340,21,1546,168,0,2480,54,1,10.87%,2.18%,0.050299401,6.52E-06,20.30622758,210,0.00476,0.48%,-15.1,165,145,310,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),1,3,4,3,1,2,4,1,4,4,5,2,4,2,4,4,2,4,2,4,5,2,4,4,4,4,4,4,4,2,0,97
S9C1915,S9,C1915,21,7,12:52:54,12178,20.9,20.2,Server,Server,0,0,1109.2,0,-53,0,-1113,165,6.04%,2732,18,788,0,0,2296,109,1,0.00%,4.75%,0,1.74E-05,20.32262079,147,0,0.00%,-3.8,56,109,165,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,3,4,3,1,2,4,1,4,4,5,2,4,2,4,4,2,4,2,4,5,2,4,4,4,4,4,4,4,2,0,97
S9C1615,S9,C1615,21,16,12:57:31,12456,20.5,20.300001,Server,Server,0,0,17.799998,0,0,0,0,164,5.94%,2761,12,848,32,0,2162,20,1,3.77%,0.93%,0.011590004,3.35E-06,20.32260055,336,-0.02381,-2.41%,17.799998,82,82,164,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,5,3,5,1,5,3,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,5,3,3,3,3,3,1,92
